id,name,price,selling_price,rating_average,quantitysold,brand_name,discount_rate,current_seller,short_url,image
91612670,Điện Thoại Oppo A54 (4GB/128GB) - Hàng Chính Hãng,3250000,5990000,4.8,5711,OPPO,46,Tiki Trading,https://tiki.vn/product-p91612670.html?spid=91612672,https://salt.tikicdn.com/cache/280x280/ts/product/82/62/2f/c784993f83afdf5b7ef8ef858c62f9a5.jpg
189658085,Điện Thoại Oppo A57 (4GB/64GB) - Hàng Chính Hãng,3550000,4490000,5.0,9774,OPPO,21,Tiki Trading,https://tiki.vn/product-p189658085.html?spid=189658087,https://salt.tikicdn.com/cache/280x280/ts/product/a6/de/4e/e96e2035f72c97c218ba9917f4e6d5ca.jpg
142545270,Điện Thoại Oppo A16k (3GB/32GB) - Hàng Chính Hãng,2399000,3190000,5.0,22936,OPPO,25,Tiki Trading,https://tiki.vn/product-p142545270.html?spid=171350275,https://salt.tikicdn.com/cache/280x280/ts/product/b8/6b/9d/63552f040aed8d9213071b177f91c07b.jpg
183330021,"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",7090000,10990000,5.0,2354,Apple,35,Tiki Trading,https://tiki.vn/product-p183330021.html?spid=124939769,https://salt.tikicdn.com/cache/280x280/ts/product/54/ff/25/bfdf0febe11a28eaa7cd3fa735a82c49.png
197216291,Apple iPhone 14 Pro Max,27450000,33990000,5.0,2919,Apple,19,Tiki Trading,https://tiki.vn/product-p197216291.html?spid=197216302,https://salt.tikicdn.com/cache/280x280/ts/product/ff/56/67/959c1f0452a2fe7e4f3453a9d77bb809.png
168304536,Điện Thoại Oppo Reno 7 5G (8GB/256G) - Hàng Chính Hãng,6990000,8990000,4.8,277,OPPO,22,Tiki Trading,https://tiki.vn/product-p168304536.html?spid=168304538,https://salt.tikicdn.com/cache/280x280/ts/product/40/8e/07/2f76fcda0145c2bd536406a3ebee0b1f.jpg
184253251,"Apple iPad Air (5th Gen) Wi-Fi, 2022 ",13490000,18990000,5.0,493,Apple,29,Tiki Trading,https://tiki.vn/product-p184253251.html?spid=168721263,https://salt.tikicdn.com/cache/280x280/ts/product/c7/8d/fe/8a34e1ae07d89373b7db963df3d1dd8b.jpg
214756058,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,2750000,3190000,5.0,137,Kindle,14,Tiki Trading,https://tiki.vn/product-p214756058.html?spid=214756062,https://salt.tikicdn.com/cache/280x280/ts/product/d6/6e/65/c0d46a4a2b4718d7a31be9e117f54eb0.png
184036446,Apple iPhone 11,10650000,12990000,4.8,13686,Apple,18,Tiki Trading,https://tiki.vn/product-p184036446.html?spid=32033721,https://salt.tikicdn.com/cache/280x280/ts/product/a1/cd/ce/84a16c41ac07ce50d754e44a16ecbd1c.jpg
184059211,Apple iPhone 13,16490000,25990000,5.0,5253,Apple,37,Tiki Trading,https://tiki.vn/product-p184059211.html?spid=123547403,https://salt.tikicdn.com/cache/280x280/ts/product/dd/2b/a6/fefd132c5ba9b5629c0119f57549e5d4.png
125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3950000,4590000,4.8,1000,Kindle,14,Techmorevn,https://tiki.vn/product-p125182567.html?spid=217275932,https://salt.tikicdn.com/cache/280x280/ts/product/43/dd/97/75d04cd242f6d891fd867fa7a599c70d.jpg
135322157,Điện Thoại Nokia C20 2GB/32GB - Hàng Chính Hãng,1490000,2490000,4.5,94,Nokia,40,Tiki Trading,https://tiki.vn/product-p135322157.html?spid=176059930,https://salt.tikicdn.com/cache/280x280/ts/product/71/2d/16/387aa7765feae2ccde9fecf185e68efb.png
205815593,"Apple iPad Pro 11-inch M2 Wi-Fi, 2022",20490000,23990000,5.0,221,Apple,15,Tiki Trading,https://tiki.vn/product-p205815593.html?spid=205815597,https://salt.tikicdn.com/cache/280x280/ts/product/c2/7e/ba/44fe328c9a95e8bbc9cb84caaf3a25cb.png
179547641,Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,3490000,4990000,4.8,354,Kindle,30,Tiki Trading,https://tiki.vn/product-p179547641.html?spid=179547642,https://salt.tikicdn.com/cache/280x280/ts/product/fc/37/17/2423c7171eca0d55afd91540d2906bd3.png
201067649,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3660000,3660000,5.0,343,Kindle,0,Shop Máy Đọc Sách Hà Nội,https://tiki.vn/product-p201067649.html?spid=252852437,https://salt.tikicdn.com/cache/280x280/ts/product/9d/ca/e8/933aebb3e1a41cd02fe78f8cd960b116.jpg
171897574,Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,2990000,4390000,5.0,94,Xiaomi,32,Tiki Trading,https://tiki.vn/product-p171897574.html?spid=216003201,https://salt.tikicdn.com/cache/280x280/ts/product/61/b0/42/86f8c9a982f4b6bbc7218d5cf15da361.jpg
217706932,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,3520000,3990000,5.0,362,Kindle,12,Techmorevn,https://tiki.vn/product-p217706932.html?spid=161964625,https://salt.tikicdn.com/cache/280x280/ts/product/88/b5/b4/f43f0514b3acfeaf8fdd36745ffb7289.jpg
203853390,Điện Thoại Oppo A17k (3GB/64GB) - Hàng Chính Hãng,2790000,3290000,4.8,87,OPPO,15,Tiki Trading,https://tiki.vn/product-p203853390.html?spid=203853392,https://salt.tikicdn.com/cache/280x280/ts/product/2d/0d/e1/cdf351b963646bc9985264226f3105d5.jpg
207761759,Điện thoại Samsung Galaxy A13 (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,3290000,3990000,5.0,40,Samsung,18,HAPPY PHONE,https://tiki.vn/product-p207761759.html?spid=207761765,https://salt.tikicdn.com/cache/280x280/ts/product/9e/ac/22/b3292e47140a1d73f3c9d8180e8a3a8d.jpg
247730281,Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,8490000,10490000,5.0,23,Samsung,19,Tiki Trading,https://tiki.vn/product-p247730281.html?spid=247730285,https://salt.tikicdn.com/cache/280x280/ts/product/92/7f/9c/b7d37e6b25b516babc206b9d079ef14d.jpg
57809866,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1830000,2490000,4.7,5037,Xiaomi,27,Tiki Trading,https://tiki.vn/product-p57809866.html?spid=57809868,https://salt.tikicdn.com/cache/280x280/ts/product/0c/cd/34/0b6abf38aaba0a3507c7c2610a15dc9f.jpg
201548628,Điện thoại Nokia C31 - Hàng Chính Hãng,2050000,3190000,4.5,98,Nokia,36,Tiki Trading,https://tiki.vn/product-p201548628.html?spid=201548632,https://salt.tikicdn.com/cache/280x280/ts/product/58/e8/34/38c79f96e2a9a7a33d9bd09681cad42b.jpg
132068858,Điện Thoại Oppo A55 (4GB/64GB) - Hàng Chính Hãng,3350000,4990000,4.8,20064,OPPO,33,Tiki Trading,https://tiki.vn/product-p132068858.html?spid=179554821,https://salt.tikicdn.com/cache/280x280/ts/product/b3/02/63/2b8317b20cf5e1f5f56d07f76652800a.jpg
